city,name,category,entry_cost_inr,time_needed_hrs,best_time,rating,description
Goa,Calangute Beach,Beach,0,2.5,Oct-Mar,4.3,"Calangute Beach is the largest and most popular beach in North Goa, known for its vibrant shacks, water sports like parasailing and jet skiing, and lively nightlife."
Goa,Fort Aguada,Heritage,0,1.5,Oct-Mar,4.4,Fort Aguada is a well-preserved 17th-century Portuguese fort overlooking the Arabian Sea with a four-storey lighthouse and panoramic coastline views.
Goa,Baga Beach,Beach,0,3.0,Oct-Mar,4.5,"Baga Beach is famous for its nightlife, beach clubs like Tito's and Mambo's, and water sports. The Saturday Night Market nearby offers great shopping."
Goa,Anjuna Flea Market,Shopping,0,2.0,Oct-Mar,4.1,"The Anjuna Flea Market is a famous Wednesday market offering handicrafts, jewelry, spices, and clothing with live music and food stalls."
Goa,Basilica of Bom Jesus,Heritage,0,1.0,Oct-Mar,4.6,"A UNESCO World Heritage Site housing the mortal remains of St. Francis Xavier. Built in 1605, it is one of the finest examples of baroque architecture in India."
Goa,Dudhsagar Waterfalls,Nature,400,5.0,Oct-Jan,4.7,Dudhsagar Falls is a four-tiered waterfall at 310 meters. A jeep safari through Bhagwan Mahavir Wildlife Sanctuary leads to the falls.
Delhi,Red Fort,Heritage,35,2.0,Oct-Mar,4.5,"The Red Fort is a UNESCO World Heritage Site built by Shah Jahan in 1638 with museums, Diwan-i-Aam, Diwan-i-Khas, and nightly Sound and Light show."
Delhi,Qutub Minar,Heritage,35,1.5,Oct-Mar,4.6,"Qutub Minar is a 73-meter tall UNESCO World Heritage Site, the tallest brick minaret in the world, built in 1193."
Delhi,India Gate,Landmark,0,1.0,Oct-Mar,4.4,"India Gate is a war memorial dedicated to 70,000 Indian soldiers who died in World War I. Beautifully illuminated at night."
Delhi,Chandni Chowk,Shopping,0,3.0,Oct-Mar,4.2,"One of the oldest and busiest markets in Old Delhi, famous for street food, spices at Khari Baoli, and electronics."
Delhi,Humayun's Tomb,Heritage,35,1.5,Oct-Mar,4.7,"A UNESCO World Heritage Site and the first garden-tomb on the Indian subcontinent, inspiring the design of the Taj Mahal."
Delhi,Lotus Temple,Landmark,0,1.0,Oct-Mar,4.5,"The Lotus Temple is a Bahai House of Worship shaped like a lotus flower with 27 marble petals, welcoming people of all faiths."
Jaipur,Amber Fort,Heritage,200,3.0,Oct-Mar,4.7,"Amber Fort is a majestic hilltop fort built in 1592 with Sheesh Mahal, Diwan-i-Aam, and Ganesh Pol gate."
Jaipur,Hawa Mahal,Heritage,50,1.0,Oct-Mar,4.5,"Hawa Mahal, the Palace of Winds, is a five-storey pink sandstone structure with 953 small windows built in 1799."
Jaipur,City Palace,Heritage,500,2.5,Oct-Mar,4.6,"The City Palace blends Rajasthani and Mughal architecture with museums, royal costumes, and armory collections."
Jaipur,Jantar Mantar,Heritage,50,1.0,Oct-Mar,4.3,A UNESCO World Heritage astronomical observation site with the world's largest stone sundial.
